 H , 1.00794(4)
 He , 4.002602(2)
 Li , 6.941(2)
 Be , 9.012182(3)
 B , 10.811(7)
 C , 12.0107(8)
 N , 14.0067(2)
 O , 15.9994(3)
 F , 18.9984032(5)
 Ne , 20.1797(6)
 Na , 22.98976928(2)
 Mg , 24.3050(6)
 Al , 26.9815386(8)
 Si , 28.0855(3)
 P , 30.973762(2)
 S , 32.065(5)
 Cl , 35.453(2)
 Ar , 39.948(1)
 K , 39.0983(1)
 Ca , 40.078(4)
 Sc , 44.955912(6)
 Ti , 47.867(1)
 V , 50.9415(1)
 Cr , 51.9961(6)
 Mn , 54.938045(5)
 Fe , 55.845(2)
 Co , 58.933195(5)
 Ni , 58.6934(4)
 Cu , 63.546(3)
 Zn , 65.38(2)
 Ga , 69.723(1)
 Ge , 72.64(1)
 As , 74.92160(2)
 Se , 78.96(3)
 Br , 79.904(1)
 Kr , 83.798(2)
 Rb , 85.4678(3)
 Sr , 87.62(1)
 Y , 88.90585(2)
 Zr , 91.224(2)
 Nb , 92.90638(2)
 Mo , 95.96(2)
 Tc , [98]
 Ru , 101.07(2)
 Rh , 102.90550(2)
 Pd , 106.42(1)
 Ag , 107.8682(2)
 Cd , 112.411(8)
 In , 114.818(3)
 Sn , 118.710(7)
 Sb , 121.760(1)
 Te , 127.60(3)
 I , 126.90447(3)
 Xe , 131.293(6)
 Cs , 132.9054519(2)
 Ba , 137.327(7)
 La , 138.90547(7)
 Ce , 140.116(1)
 Pr , 140.90765(2)
 Nd , 144.242(3)
 Pm , [145]
 Sm , 150.36(2)
 Eu , 151.964(1)
 Gd , 157.25(3)
 Tb , 158.92535(2)
 Dy , 162.500(1)
 Ho , 164.93032(2)
 Er , 167.259(3)
 Tm , 168.93421(2)
 Yb , 173.054(5)
 Lu , 174.9668(1)
 Hf , 178.49(2)
 Ta , 180.94788(2)
 W , 183.84(1)
 Re , 186.207(1)
 Os , 190.23(3)
 Ir , 192.217(3)
 Pt , 195.084(9)
 Au , 196.966569(4)
 Hg , 200.59(2)
 Tl , 204.3833(2)
 Pb , 207.2(1)
 Bi , 208.98040(1)
 Po , [209]
 At , [210]
 Rn , [222]
 Fr , [223]
 Ra , [226]
 Ac , [227]
 Th , 232.03806(2)
 Pa , 231.03588(2)
 U , 238.02891(3)
 Np , [237]
 Pu , [244]
 Am , [243]
 Cm , [247]
 Bk , [247]
 Cf , [251]
 Es , [252]
 Fm , [257]
 Md , [258]
 No , [259]
 Lr , [262]
 Rf , [267]
 Db , [268]
 Sg , [271]
 Bh , [272]
 Hs , [270]
 Mt , [276]
 Ds , [281]
 Rg , [280]
 Cn , [285]
 Uut , [284]
 Uuq , [289]
 Uup , [288]
 Uuh , [293]
 Uus ,
 Uuo , [294] 
